id,liste,region,nuance,candidat,voix_tour_1,contient_nom_candidat,!,Action,Alliance,Anticapitaliste,Centre,Changement,Conduite,Construire,Demain,Droite,Ecologie,Ensemble,Europe,Force,France,Front,Gauche,Independant,Juste,Lutte,Moderne,National,Nouveau,Oser,Ouvriere,PC,Progres,PS,Rassemblement,Solidaire,Soutenue,Tete,Tous,UMP,Union,Extreme
"TOUT CHANGER, RIEN LACHER ! LISTE PRESENTEE PAR LE NPA ET LES OBJECTEURS DE CROISSANCE SOUTENUE PAR OLIVIER BESANCENOT ET CONDUITE PAR MYRIAM MARTIN (NOUVEAU PARTI ANTICAPITALISTE)///MIDI-PYRENEES","TOUT CHANGER, RIEN LACHER ! LISTE PRESENTEE PAR LE NPA ET LES OBJECTEURS DE CROISSANCE SOUTENUE PAR OLIVIER BESANCENOT ET CONDUITE PAR MYRIAM MARTIN (NOUVEAU PARTI ANTICAPITALISTE)",MIDI-PYRENEES,EXG,MARTIN,28389,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TOUT CHANGER, RIEN LACHER ! LISTE PRESENTEE PAR LE NPA, SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)///HAUTE-NORMANDIE","TOUT CHANGER, RIEN LACHER ! LISTE PRESENTEE PAR LE NPA, SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)",HAUTE-NORMANDIE,EXG,POUPIN,14633,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TOUT CHANGER, RIEN LACHER ! LISTE SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)///NORD-PAS-DE-CALAIS","TOUT CHANGER, RIEN LACHER ! LISTE SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)",NORD-PAS-DE-CALAIS,EXG,MONTEL,35005,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TOUT CHANGER, RIEN LACHER! LISTE PRESENTEE PAR LE NPA ET CONDUITE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)///ILE-DE-FRANCE","TOUT CHANGER, RIEN LACHER! LISTE PRESENTEE PAR LE NPA ET CONDUITE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)",ILE-DE-FRANCE,EXG,BESANCENOT,86137,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOUT CHANGER, RIEN LACHER! LISTE SOUTENUE PAR LE NPA ET OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)///ALSACE","TOUT CHANGER, RIEN LACHER! LISTE SOUTENUE PAR LE NPA ET OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)",ALSACE,EXG,ZIMMERMANN,8046,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TOUT CHANGER, RIEN LACHER, LISTE SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)///AQUITAINE","TOUT CHANGER, RIEN LACHER, LISTE SOUTENUE PAR OLIVIER BESANCENOT (NOUVEAU PARTI ANTICAPITALISTE)",AQUITAINE,EXG,POUTOU,25209,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"UNE DROITE DYNAMIQUE POUR UNE GUYANE MODERNE, PROSPERE ET SOLIDAIRE///GUYANE","UNE DROITE DYNAMIQUE POUR UNE GUYANE MODERNE, PROSPERE ET SOLIDAIRE",GUYANE,DVD,AREL,1274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UNE FRANCHE-COMTE D'AVANCE, JUSTE, ECOLOGIQUE ET INNOVANTE. PS-MRG-PRG-DVG (TETE DE LISTE PS, LISTE PS, DIVERS GAUCHE)///FRANCHE-COMTE","UNE FRANCHE-COMTE D'AVANCE, JUSTE, ECOLOGIQUE ET INNOVANTE. PS-MRG-PRG-DVG (TETE DE LISTE PS, LISTE PS, DIVERS GAUCHE)",FRANCHE-COMTE,SOC-autreG,DUFAY,119159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
UNE GUYANE POUR TOUS///GUYANE,UNE GUYANE POUR TOUS,GUYANE,DVG,SERVILLE,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)///CHAMPAGNE-ARDENNE","UNE NOUVELLE DYNAMIQUE POUR LA CHAMPAGNE-ARDENNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",CHAMPAGNE-ARDENNE,UMP,WARSMANN,120470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"UNE REGION D'AVANCE - LE CHOIX DE RHONE-ALPES (TETE DE LISTE PS, LISTE PS, DIVERS GAUCHE)///RHONE-ALPES","UNE REGION D'AVANCE - LE CHOIX DE RHONE-ALPES (TETE DE LISTE PS, LISTE PS, DIVERS GAUCHE)",RHONE-ALPES,SOC-autreG,QUEYRANNE,433987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)///AUVERGNE","UNION POUR LE RENOUVEAU DE L'AUVERGNE (TETE DE LISTE UMP, LISTE UMP, NOUVEAU CENTRE, MOUVEMENT POUR LA FRANCE, CPNT)",AUVERGNE,UMP,MARLEIX,137199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
UNION REPUBLICAINE POPULAIRE///LANGUEDOC-ROUSSILLON,UNION REPUBLICAINE POPULAIRE,LANGUEDOC-ROUSSILLON,DVD,JEANJEAN,17276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VOTEZ JUSTE POUR LE NORD PAS DE CALAIS, LISTE CONDUITE PAR OLIVIER HENNO AVEC LE SOUTIEN DE CORINNE LEPAGE ET DE FRANCOIS BAYROU ET LA PRESENCE DES PERSONNALITES DU CENTRE, DE GAULLISTES SOCIAUX, D'ECOLOGISTES (GENERATION ECOLOGIE, ECOLOGIE DEMOCRATE, CA (TETE DE LISTE MODEM, LISTE MODEM ET DIVERS ECOLOGISTES)///NORD-PAS-DE-CALAIS","VOTEZ JUSTE POUR LE NORD PAS DE CALAIS, LISTE CONDUITE PAR OLIVIER HENNO AVEC LE SOUTIEN DE CORINNE LEPAGE ET DE FRANCOIS BAYROU ET LA PRESENCE DES PERSONNALITES DU CENTRE, DE GAULLISTES SOCIAUX, D'ECOLOGISTES (GENERATION ECOLOGIE, ECOLOGIE DEMOCRATE, CA (TETE DE LISTE MODEM, LISTE MODEM ET DIVERS ECOLOGISTES)",NORD-PAS-DE-CALAIS,MODEM,HENNO,47445,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"VRAIMENT A GAUCHE LISTE UNITAIRE, ANTICAPITALISTE ET POUR UNE ECOLOGIE RADICALE (NOUVEAU PARTI ANTICAPITALISTE)///BRETAGNE","VRAIMENT A GAUCHE LISTE UNITAIRE, ANTICAPITALISTE ET POUR UNE ECOLOGIE RADICALE (NOUVEAU PARTI ANTICAPITALISTE)",BRETAGNE,EXG,DE BOUARD,26129,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WWW.ALSACE-NOTRE-TERRE.FR LE CENTRE DROIT: LA VRAIE ALTERNATIVE///ALSACE,WWW.ALSACE-NOTRE-TERRE.FR LE CENTRE DROIT: LA VRAIE ALTERNATIVE,ALSACE,DVD,STRIBY,8303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

